Experience,Qualifications,Work Type,Company Size,Preference,Job Title,Role,skills,Salary_INR
1,MCA,Contract,83222,Both,Cloud Engineer,Cloud Engineer,"Linux, Kubernetes, Docker, AWS",2677034
2,MBA,Remote,24944,Male,DevOps Engineer,DevOps Engineer,"CI/CD, AWS, Docker, Kubernetes",3103261
1,BCA,Intern,168407,Both,Machine Learning Engineer,Machine Learning Engineer,"AWS, Docker, TensorFlow, PyTorch",2224523
1,MBA,Intern,139431,Female,Frontend Developer,Frontend Developer,"React, JavaScript, TypeScript, CSS",1817061
11,MCA,Remote,19176,Both,Mobile App Developer,Mobile App Developer,"Flutter, Dart, Android, Firebase",3338791
3,BCA,Contract,95883,Male,Mobile App Developer,Mobile App Developer,"Flutter, Firebase, Android, Dart",1823609
0,M.Tech,Full-Time,4461,Both,Mobile App Developer,Mobile App Developer,"Flutter, Dart, Android, Firebase",2066075
1,BCA,Contract,9946,Female,Backend Developer,Backend Developer,"REST API, Spring Boot, Java, Docker",1594838
8,BCA,Full-Time,4305,Male,Cloud Engineer,Cloud Engineer,"Azure, Docker, Kubernetes, Linux",3562912
15,PhD,Full-Time,46361,Female,Software Tester,Software Tester,"Selenium, Manual Testing, Automation, JIRA",3661519
10,B.Tech,Contract,58649,Female,DevOps Engineer,DevOps Engineer,"Kubernetes, AWS, Docker, Linux",3532627
11,BCA,Contract,37237,Male,Frontend Developer,Frontend Developer,"CSS, TypeScript, React, JavaScript",2591497
15,MCA,Intern,152323,Female,UI/UX Designer,UI/UX Designer,"Prototyping, Adobe XD, Figma, Wireframing",3393271
5,M.Tech,Intern,199779,Both,Mobile App Developer,Mobile App Developer,"Flutter, Android, Dart, Firebase",2751051
10,PhD,Intern,111573,Both,Data Scientist,Data Scientist,"Machine Learning, Statistics, Pandas, SQL",4004900
15,MBA,Remote,91818,Female,DevOps Engineer,DevOps Engineer,"CI/CD, Kubernetes, Docker, Linux",4747794
13,M.Tech,Contract,53821,Female,Frontend Developer,Frontend Developer,"HTML, React, CSS, JavaScript",3476294
9,PhD,Contract,45031,Female,Mobile App Developer,Mobile App Developer,"Android, Firebase, Dart, Flutter",3113255
15,MBA,Full-Time,183775,Female,DevOps Engineer,DevOps Engineer,"Kubernetes, Linux, Docker, AWS",4519887
7,PhD,Full-Time,184541,Female,Machine Learning Engineer,Machine Learning Engineer,"Python, Docker, TensorFlow, PyTorch",4095574
2,PhD,Full-Time,89892,Male,Mobile App Developer,Mobile App Developer,"Android, Firebase, Dart, Flutter",2620580
3,BCA,Intern,130344,Female,Software Tester,Software Tester,"Automation, Selenium, Manual Testing, JIRA",1628829
7,MCA,Contract,83126,Both,Data Scientist,Data Scientist,"Pandas, Python, Statistics, Machine Learning",3283175
8,MCA,Intern,135681,Both,Cloud Engineer,Cloud Engineer,"Azure, Linux, Kubernetes, Docker",3512657
13,MBA,Intern,127469,Female,Backend Developer,Backend Developer,"MySQL, Java, REST API, Docker",3304834
1,PhD,Intern,177128,Both,UI/UX Designer,UI/UX Designer,"Prototyping, Figma, Adobe XD, Wireframing",2024043
3,MBA,Full-Time,16548,Female,Cyber Security Analyst,Cyber Security Analyst,"Python, Network Security, Penetration Testing, SIEM",2976469
11,M.Tech,Full-Time,104212,Male,Backend Developer,Backend Developer,"REST API, Docker, Java, MySQL",3709651
7,PhD,Remote,65053,Male,DevOps Engineer,DevOps Engineer,"Linux, Docker, AWS, CI/CD",3830960
10,M.Tech,Intern,55743,Both,DevOps Engineer,DevOps Engineer,"CI/CD, Linux, Kubernetes, Docker",4270873
2,M.Tech,Full-Time,113950,Female,Cloud Engineer,Cloud Engineer,"Kubernetes, AWS, Azure, Linux",3423763
2,M.Tech,Intern,193645,Male,Backend Developer,Backend Developer,"MySQL, Spring Boot, REST API, Docker",2364030
9,MBA,Full-Time,60799,Male,Cyber Security Analyst,Cyber Security Analyst,"SIEM, Penetration Testing, Network Security, Python",3712908
4,MBA,Full-Time,118462,Female,Frontend Developer,Frontend Developer,"React, TypeScript, JavaScript, HTML",2293524
2,MBA,Contract,142293,Male,Data Scientist,Data Scientist,"Machine Learning, SQL, Pandas, Python",2844159
7,PhD,Intern,165994,Both,DevOps Engineer,DevOps Engineer,"CI/CD, Kubernetes, Linux, AWS",3755357
3,PhD,Contract,90247,Both,Backend Developer,Backend Developer,"Spring Boot, Docker, REST API, Java",2757646
10,MCA,Intern,24659,Female,Mobile App Developer,Mobile App Developer,"Flutter, Dart, Android, Firebase",3267793
13,MBA,Intern,57229,Both,Backend Developer,Backend Developer,"Docker, Java, MySQL, REST API",3299930
1,B.Tech,Full-Time,155567,Both,Cloud Engineer,Cloud Engineer,"Azure, Linux, Docker, Kubernetes",2820558
8,B.Tech,Intern,72739,Male,Software Tester,Software Tester,"Automation, Selenium, JIRA, Manual Testing",2416200
3,MBA,Intern,51371,Both,Software Tester,Software Tester,"Selenium, Automation, JIRA, Manual Testing",2112659
14,MCA,Remote,190724,Male,Frontend Developer,Frontend Developer,"HTML, React, CSS, TypeScript",3796839
0,M.Tech,Contract,57669,Female,Mobile App Developer,Mobile App Developer,"Dart, Android, Flutter, Firebase",2050238
10,BCA,Remote,80474,Female,Cloud Engineer,Cloud Engineer,"Linux, Azure, AWS, Kubernetes",3915424
14,MCA,Contract,161492,Both,Cyber Security Analyst,Cyber Security Analyst,"SIEM, Penetration Testing, Network Security, Python",4035923
6,BCA,Full-Time,67889,Female,Mobile App Developer,Mobile App Developer,"Android, Firebase, Flutter, Dart",2315903
12,BCA,Intern,88702,Female,DevOps Engineer,DevOps Engineer,"Kubernetes, AWS, Docker, Linux",4183260
8,BCA,Contract,164702,Both,Machine Learning Engineer,Machine Learning Engineer,"Docker, AWS, TensorFlow, PyTorch",2940981
6,PhD,Contract,197768,Female,UI/UX Designer,UI/UX Designer,"Wireframing, Figma, Prototyping, Adobe XD",2723089
0,M.Tech,Intern,76259,Both,Cyber Security Analyst,Cyber Security Analyst,"SIEM, Python, Network Security, Penetration Testing",2680797
13,B.Tech,Contract,57380,Male,Frontend Developer,Frontend Developer,"CSS, JavaScript, TypeScript, React",3732308
8,MCA,Remote,141672,Female,Data Scientist,Data Scientist,"Machine Learning, SQL, Pandas, Statistics",3440780
13,BCA,Intern,81398,Female,Backend Developer,Backend Developer,"Spring Boot, Docker, REST API, Java",3546157
9,B.Tech,Contract,183800,Both,DevOps Engineer,DevOps Engineer,"CI/CD, AWS, Docker, Kubernetes",3236978
3,BCA,Full-Time,107920,Female,Frontend Developer,Frontend Developer,"HTML, React, JavaScript, TypeScript",1683599
8,MCA,Intern,190384,Female,Machine Learning Engineer,Machine Learning Engineer,"Docker, AWS, Python, PyTorch",3335676
7,BCA,Full-Time,59436,Both,Backend Developer,Backend Developer,"Spring Boot, Java, REST API, MySQL",2164127
13,BCA,Remote,199331,Both,UI/UX Designer,UI/UX Designer,"Prototyping, Adobe XD, Figma, Wireframing",3225247
7,MBA,Contract,20444,Both,Backend Developer,Backend Developer,"Docker, Spring Boot, MySQL, Java",2781302
14,MCA,Remote,60002,Female,Backend Developer,Backend Developer,"Docker, MySQL, Java, Spring Boot",3430238
7,B.Tech,Full-Time,18709,Both,Cloud Engineer,Cloud Engineer,"AWS, Azure, Linux, Kubernetes",3326405
10,PhD,Remote,105695,Female,Cloud Engineer,Cloud Engineer,"Kubernetes, Docker, Linux, AWS",3925121
2,M.Tech,Remote,57174,Both,Data Scientist,Data Scientist,"SQL, Python, Machine Learning, Statistics",2688847
0,MCA,Contract,112083,Both,Data Scientist,Data Scientist,"SQL, Machine Learning, Pandas, Statistics",2552685
6,MBA,Remote,107934,Female,Software Tester,Software Tester,"Automation, Manual Testing, Selenium, JIRA",2304846
14,B.Tech,Full-Time,73057,Both,Machine Learning Engineer,Machine Learning Engineer,"PyTorch, AWS, Python, Docker",4296919
2,BCA,Full-Time,109037,Male,Cyber Security Analyst,Cyber Security Analyst,"Network Security, Penetration Testing, SIEM, Python",2404714
10,M.Tech,Contract,192446,Both,Machine Learning Engineer,Machine Learning Engineer,"Python, Docker, TensorFlow, AWS",3784204
1,M.Tech,Remote,145935,Both,Machine Learning Engineer,Machine Learning Engineer,"Python, Docker, AWS, TensorFlow",2909408
0,BCA,Remote,117833,Both,Cyber Security Analyst,Cyber Security Analyst,"Python, Penetration Testing, SIEM, Network Security",2330542
14,B.Tech,Remote,19548,Both,DevOps Engineer,DevOps Engineer,"Kubernetes, AWS, CI/CD, Docker",4337138
15,MBA,Remote,126457,Female,UI/UX Designer,UI/UX Designer,"Adobe XD, Figma, Prototyping, Wireframing",3368004
5,M.Tech,Intern,151915,Male,Frontend Developer,Frontend Developer,"CSS, HTML, JavaScript, React",2541955
2,MBA,Remote,160178,Female,DevOps Engineer,DevOps Engineer,"CI/CD, Docker, Linux, AWS",3164636
10,PhD,Contract,94286,Female,Data Scientist,Data Scientist,"SQL, Pandas, Python, Machine Learning",3927241
14,MBA,Remote,164956,Female,Backend Developer,Backend Developer,"Docker, Spring Boot, Java, REST API",4078966
13,B.Tech,Full-Time,123315,Male,Mobile App Developer,Mobile App Developer,"Dart, Firebase, Android, Flutter",3000803
12,BCA,Contract,149330,Male,Data Scientist,Data Scientist,"Statistics, SQL, Pandas, Machine Learning",3439613
3,B.Tech,Full-Time,15183,Female,DevOps Engineer,DevOps Engineer,"CI/CD, Kubernetes, AWS, Docker",2855757
10,MBA,Remote,65417,Female,UI/UX Designer,UI/UX Designer,"Wireframing, Prototyping, Figma, Adobe XD",3049518
7,MBA,Intern,102499,Male,Backend Developer,Backend Developer,"Docker, Spring Boot, Java, MySQL",2571954
6,MBA,Contract,83547,Both,DevOps Engineer,DevOps Engineer,"Docker, AWS, CI/CD, Linux",3401202
13,PhD,Contract,197527,Female,Backend Developer,Backend Developer,"MySQL, Spring Boot, Java, REST API",3843152
10,B.Tech,Full-Time,126812,Female,Frontend Developer,Frontend Developer,"TypeScript, JavaScript, React, HTML",2494315
3,MCA,Intern,121814,Male,Mobile App Developer,Mobile App Developer,"Firebase, Dart, Android, Flutter",2048287
3,B.Tech,Remote,75098,Female,Backend Developer,Backend Developer,"Spring Boot, MySQL, REST API, Java",2455624
4,MBA,Full-Time,163065,Male,Mobile App Developer,Mobile App Developer,"Firebase, Android, Flutter, Dart",2564507
11,PhD,Remote,103119,Male,Cloud Engineer,Cloud Engineer,"Azure, AWS, Linux, Kubernetes",4183823
9,PhD,Full-Time,127200,Both,Machine Learning Engineer,Machine Learning Engineer,"AWS, PyTorch, Python, Docker",3969229
9,BCA,Full-Time,32105,Female,Software Tester,Software Tester,"Automation, Manual Testing, Selenium, JIRA",2465985
10,BCA,Remote,105371,Male,Cloud Engineer,Cloud Engineer,"Docker, Kubernetes, AWS, Azure",4019792
12,MBA,Full-Time,108866,Male,DevOps Engineer,DevOps Engineer,"Docker, Kubernetes, CI/CD, Linux",4202790
0,PhD,Remote,101946,Both,Frontend Developer,Frontend Developer,"React, HTML, CSS, JavaScript",2029053
2,MCA,Contract,155982,Female,UI/UX Designer,UI/UX Designer,"Figma, Adobe XD, Prototyping, Wireframing",1938978
7,B.Tech,Remote,28072,Both,Machine Learning Engineer,Machine Learning Engineer,"PyTorch, Python, AWS, TensorFlow",3345166
12,M.Tech,Remote,6296,Male,Cyber Security Analyst,Cyber Security Analyst,"Network Security, Penetration Testing, Python, SIEM",3665325
2,MCA,Remote,75765,Both,Machine Learning Engineer,Machine Learning Engineer,"TensorFlow, AWS, Python, PyTorch",2792502
0,BCA,Full-Time,92653,Male,Frontend Developer,Frontend Developer,"HTML, React, TypeScript, JavaScript",1457905
7,B.Tech,Contract,7547,Male,DevOps Engineer,DevOps Engineer,"CI/CD, Linux, AWS, Docker",2959230
0,MCA,Intern,96286,Female,Backend Developer,Backend Developer,"Java, Spring Boot, REST API, MySQL",1965732
14,M.Tech,Intern,105055,Female,Frontend Developer,Frontend Developer,"HTML, React, TypeScript, CSS",3857346
8,PhD,Contract,128673,Male,Cyber Security Analyst,Cyber Security Analyst,"Network Security, Python, SIEM, Penetration Testing",3878015
14,PhD,Full-Time,131741,Male,Backend Developer,Backend Developer,"MySQL, Java, Spring Boot, Docker",4248870
8,B.Tech,Contract,15331,Male,UI/UX Designer,UI/UX Designer,"Adobe XD, Prototyping, Wireframing, Figma",2805193
7,M.Tech,Remote,63852,Female,Cyber Security Analyst,Cyber Security Analyst,"Penetration Testing, Network Security, Python, SIEM",3441749
13,M.Tech,Intern,128635,Female,Backend Developer,Backend Developer,"REST API, Java, Docker, MySQL",3981845
10,B.Tech,Full-Time,61842,Female,UI/UX Designer,UI/UX Designer,"Figma, Prototyping, Adobe XD, Wireframing",2657053
8,MCA,Full-Time,165932,Female,UI/UX Designer,UI/UX Designer,"Wireframing, Adobe XD, Prototyping, Figma",2239287
11,B.Tech,Contract,99583,Male,Cloud Engineer,Cloud Engineer,"Docker, Kubernetes, Azure, Linux",4085229
14,M.Tech,Intern,185103,Both,UI/UX Designer,UI/UX Designer,"Figma, Adobe XD, Wireframing, Prototyping",3201971
9,B.Tech,Full-Time,125408,Both,Software Tester,Software Tester,"Selenium, Manual Testing, Automation, JIRA",2731014
11,MBA,Remote,155700,Male,Machine Learning Engineer,Machine Learning Engineer,"TensorFlow, Python, AWS, PyTorch",3795511
0,PhD,Contract,65912,Male,Cloud Engineer,Cloud Engineer,"AWS, Kubernetes, Azure, Docker",3020743
13,MCA,Contract,48703,Female,Cyber Security Analyst,Cyber Security Analyst,"Penetration Testing, SIEM, Python, Network Security",3760592
10,BCA,Contract,89960,Female,Mobile App Developer,Mobile App Developer,"Android, Firebase, Flutter, Dart",2752250
5,MBA,Intern,108060,Female,Cloud Engineer,Cloud Engineer,"Linux, Kubernetes, Docker, Azure",3656578
9,BCA,Intern,119437,Male,Software Tester,Software Tester,"Selenium, JIRA, Automation, Manual Testing",2574531
15,BCA,Remote,43123,Both,Machine Learning Engineer,Machine Learning Engineer,"AWS, PyTorch, TensorFlow, Docker",4368012
6,M.Tech,Full-Time,129437,Female,Cloud Engineer,Cloud Engineer,"Docker, Azure, Kubernetes, Linux",3636342
10,MBA,Full-Time,72037,Male,Mobile App Developer,Mobile App Developer,"Flutter, Firebase, Dart, Android",3155508
5,M.Tech,Contract,34223,Both,UI/UX Designer,UI/UX Designer,"Wireframing, Adobe XD, Prototyping, Figma",2522965
15,PhD,Full-Time,119974,Male,DevOps Engineer,DevOps Engineer,"Kubernetes, Linux, CI/CD, AWS",4629621
13,M.Tech,Remote,164540,Both,Cloud Engineer,Cloud Engineer,"Kubernetes, Azure, Linux, Docker",4333836
10,M.Tech,Intern,28692,Female,Frontend Developer,Frontend Developer,"JavaScript, CSS, React, TypeScript",3089665
4,MCA,Full-Time,69234,Both,Cloud Engineer,Cloud Engineer,"Azure, Docker, Linux, AWS",3015403
14,B.Tech,Intern,51171,Male,DevOps Engineer,DevOps Engineer,"AWS, Kubernetes, Linux, CI/CD",4378155
13,B.Tech,Remote,2282,Both,Cyber Security Analyst,Cyber Security Analyst,"Penetration Testing, SIEM, Network Security, Python",3208878
8,MBA,Full-Time,64499,Female,Data Scientist,Data Scientist,"Machine Learning, Pandas, SQL, Statistics",3186508
1,MBA,Intern,121026,Female,UI/UX Designer,UI/UX Designer,"Wireframing, Figma, Prototyping, Adobe XD",1813304
7,BCA,Remote,22576,Male,UI/UX Designer,UI/UX Designer,"Figma, Prototyping, Adobe XD, Wireframing",2290086
7,PhD,Intern,120886,Both,Mobile App Developer,Mobile App Developer,"Firebase, Android, Flutter, Dart",3392841
4,PhD,Intern,119883,Female,DevOps Engineer,DevOps Engineer,"AWS, Docker, CI/CD, Kubernetes",3798236
2,BCA,Remote,77394,Male,Data Scientist,Data Scientist,"Statistics, Pandas, Python, Machine Learning",2096726
7,M.Tech,Contract,26322,Female,Cyber Security Analyst,Cyber Security Analyst,"Network Security, Python, SIEM, Penetration Testing",3269499
0,M.Tech,Intern,156112,Both,Cloud Engineer,Cloud Engineer,"Kubernetes, AWS, Linux, Docker",2963651
10,M.Tech,Full-Time,103510,Male,Machine Learning Engineer,Machine Learning Engineer,"Python, Docker, PyTorch, TensorFlow",3706662
7,MCA,Intern,3811,Both,Cloud Engineer,Cloud Engineer,"AWS, Linux, Docker, Azure",3704301
6,MBA,Intern,192423,Both,Mobile App Developer,Mobile App Developer,"Dart, Flutter, Firebase, Android",2906132
7,BCA,Contract,25748,Female,Machine Learning Engineer,Machine Learning Engineer,"Python, TensorFlow, PyTorch, Docker",3184435
10,M.Tech,Contract,83288,Both,Software Tester,Software Tester,"Selenium, Automation, JIRA, Manual Testing",2892079
9,B.Tech,Contract,129283,Female,Machine Learning Engineer,Machine Learning Engineer,"TensorFlow, AWS, PyTorch, Python",3268087
2,MBA,Full-Time,59492,Male,Machine Learning Engineer,Machine Learning Engineer,"AWS, PyTorch, Docker, Python",2782881
4,MCA,Full-Time,113531,Both,DevOps Engineer,DevOps Engineer,"Kubernetes, AWS, Docker, CI/CD",3203154
9,MCA,Contract,118090,Male,Data Scientist,Data Scientist,"Pandas, SQL, Python, Statistics",3360156
9,M.Tech,Remote,102866,Male,Cloud Engineer,Cloud Engineer,"Azure, Docker, AWS, Linux",3908831
4,MBA,Full-Time,2991,Male,DevOps Engineer,DevOps Engineer,"Docker, Kubernetes, CI/CD, Linux",3156772
6,MBA,Contract,68379,Both,DevOps Engineer,DevOps Engineer,"CI/CD, Linux, AWS, Docker",3485860
4,MBA,Remote,2146,Female,Cyber Security Analyst,Cyber Security Analyst,"SIEM, Network Security, Penetration Testing, Python",2679089
13,B.Tech,Intern,16945,Both,Backend Developer,Backend Developer,"Docker, REST API, Spring Boot, Java",3633947
1,PhD,Remote,1922,Male,UI/UX Designer,UI/UX Designer,"Adobe XD, Figma, Prototyping, Wireframing",1848935
1,MCA,Full-Time,12852,Male,Backend Developer,Backend Developer,"Java, Spring Boot, REST API, Docker",1990134
11,BCA,Remote,96181,Female,DevOps Engineer,DevOps Engineer,"Linux, Docker, AWS, Kubernetes",3521103
0,B.Tech,Intern,139534,Both,Cloud Engineer,Cloud Engineer,"Linux, Kubernetes, AWS, Azure",2607587
4,BCA,Intern,128924,Female,Data Scientist,Data Scientist,"Machine Learning, SQL, Pandas, Statistics",2436012
14,M.Tech,Remote,178853,Male,Machine Learning Engineer,Machine Learning Engineer,"Docker, Python, TensorFlow, AWS",4543297
9,BCA,Contract,138216,Both,Mobile App Developer,Mobile App Developer,"Flutter, Dart, Android, Firebase",2238756
12,MBA,Contract,158577,Male,UI/UX Designer,UI/UX Designer,"Prototyping, Wireframing, Figma, Adobe XD",2706133
15,PhD,Remote,132450,Female,Software Tester,Software Tester,"Selenium, Automation, Manual Testing, JIRA",3566601
6,M.Tech,Contract,508,Both,Cloud Engineer,Cloud Engineer,"Docker, Azure, AWS, Linux",3332698
14,MBA,Remote,43335,Female,DevOps Engineer,DevOps Engineer,"Docker, Kubernetes, CI/CD, Linux",3998161
9,MBA,Remote,190514,Female,Backend Developer,Backend Developer,"Java, Spring Boot, REST API, MySQL",3399916
10,MBA,Remote,153624,Both,Data Scientist,Data Scientist,"Machine Learning, Pandas, SQL, Python",3545157
14,MBA,Remote,133064,Both,Backend Developer,Backend Developer,"REST API, Spring Boot, Java, Docker",3165867
6,PhD,Intern,133327,Female,Software Tester,Software Tester,"Automation, Manual Testing, Selenium, JIRA",2757371
1,MBA,Full-Time,39003,Both,Backend Developer,Backend Developer,"Docker, Java, Spring Boot, MySQL",2121945
